 	auditory system disorder	breast disorder	cancer or benign tumor	cardiovascular disorder	connective tissue disorder	digestive system disorder	disorder of visual system	endocrine system disorder	hematologic disorder	immune system disorder	inflammatory disease	injury	integumentary system disorder	infectious disease or post-infectious disorder	metabolic disease	musculoskeletal system disorder	nervous system disorder	nutritional disorder	otorhinolaryngologic disease	poisoning	psychiatric disorder	respiratory system disorder	urinary system disorder
Melastomataceae	0.0	0.009302325581395349	0.012567324955116697	0.0033112582781456954	0.003355704697986577	0.006509357200976403	0.0	0.003968253968253968	0.006289308176100629	0.0035211267605633804	0.006112469437652812	0.012345679012345678	0.0	0.0036363636363636364	0.0029542097488921715	0.006024096385542169	0.0012165450121654502	0.0	0.0	0.0	0.0	0.009523809523809525	0.0048543689320388345
Rhizophoraceae	0.0	0.0	0.0017953321364452424	0.0	0.003355704697986577	0.014646053702196907	0.4	0.010912698412698412	0.009433962264150943	0.007042253521126761	0.008557457212713936	0.012345679012345678	0.01272264631043257	0.01575757575757576	0.014771048744460856	0.002008032128514056	0.006082725060827251	0.009345794392523364	0.0	0.0	0.001851851851851852	0.0	0.0
Cistaceae	0.0	0.0	0.0	0.0033112582781456954	0.006711409395973154	0.0040683482506102524	0.0	0.001984126984126984	0.0	0.00528169014084507	0.0024449877750611247	0.012345679012345678	0.002544529262086514	0.013333333333333334	0.0029542097488921715	0.004016064257028112	0.0024330900243309003	0.0	0.0	0.0	0.003703703703703704	0.006349206349206349	0.0
Taccaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031446540880503146	0.0017605633802816902	0.0012224938875305623	0.0	0.0	0.0012121212121212121	0.0029542097488921715	0.0	0.0	0.0	0.0	0.0	0.0	0.0031746031746031746	0.0
Talinaceae	0.0	0.0	0.0	0.0	0.0	0.0016273393002441008	0.0	0.001984126984126984	0.0	0.0	0.0	0.006172839506172839	0.0	0.0	0.0029542097488921715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Calophyllaceae	0.0	0.004651162790697674	0.005385996409335727	0.016556291390728478	0.010067114093959731	0.012205044751830757	0.0	0.001984126984126984	0.015723270440251572	0.01232394366197183	0.008557457212713936	0.018518518518518517	0.015267175572519083	0.01818181818181818	0.0014771048744460858	0.014056224899598393	0.0036496350364963502	0.0	0.0	0.0	0.001851851851851852	0.006349206349206349	0.0048543689320388345
Linderniaceae	0.0	0.0	0.0	0.0	0.0	0.0016273393002441008	0.0	0.001984126984126984	0.0	0.0	0.0024449877750611247	0.0	0.0	0.0024242424242424242	0.0029542097488921715	0.0	0.0	0.009345794392523364	0.0	0.0	0.0	0.0031746031746031746	0.0
Bixaceae	0.0	0.0	0.0	0.0033112582781456954	0.006711409395973154	0.005695687550854353	0.0	0.006944444444444444	0.0031446540880503146	0.0035211267605633804	0.004889975550122249	0.006172839506172839	0.002544529262086514	0.0048484848484848485	0.005908419497784343	0.004016064257028112	0.0	0.009345794392523364	0.0	0.0	0.0	0.0	0.0
Petiveriaceae	0.0	0.013953488372093023	0.005385996409335727	0.0	0.003355704697986577	0.0016273393002441008	0.0	0.0	0.0	0.0017605633802816902	0.0012224938875305623	0.0	0.0	0.0036363636363636364	0.0	0.002008032128514056	0.0036496350364963502	0.0	0.0	0.0	0.003703703703703704	0.0031746031746031746	0.0
Nitrariaceae	0.0	0.004651162790697674	0.017953321364452424	0.0	0.003355704697986577	0.011391375101708706	0.0	0.012896825396825396	0.0031446540880503146	0.00528169014084507	0.0024449877750611247	0.0	0.005089058524173028	0.025454545454545455	0.0103397341211226	0.004016064257028112	0.010948905109489052	0.018691588785046728	0.0	0.0	0.012962962962962963	0.01904761904761905	0.0048543689320388345
Stemonaceae	0.0	0.0	0.0017953321364452424	0.0	0.0	0.0008136696501220504	0.0	0.000992063492063492	0.0031446540880503146	0.0	0.003667481662591687	0.0	0.002544529262086514	0.006060606060606061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012698412698412698	0.0
Cleomaceae	0.0	0.004651162790697674	0.010771992818671455	0.0033112582781456954	0.026845637583892617	0.008950366151342554	0.0	0.007936507936507936	0.0031446540880503146	0.014084507042253521	0.008557457212713936	0.030864197530864196	0.002544529262086514	0.009696969696969697	0.0014771048744460858	0.01606425702811245	0.0024330900243309003	0.0	0.0	0.0	0.0	0.0	0.0
Martyniaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005089058524173028	0.0012121212121212121	0.0	0.0	0.0012165450121654502	0.0	0.0	0.0	0.0	0.0	0.0
Putranjivaceae	0.0	0.004651162790697674	0.003590664272890485	0.0	0.003355704697986577	0.0040683482506102524	0.0	0.003968253968253968	0.0	0.0017605633802816902	0.0024449877750611247	0.0	0.0	0.0	0.0014771048744460858	0.002008032128514056	0.0012165450121654502	0.0	0.013157894736842105	0.0	0.0	0.006349206349206349	0.0
Aspleniaceae	0.0	0.0	0.0017953321364452424	0.0033112582781456954	0.0	0.0024410089503661514	0.0	0.002976190476190476	0.009433962264150943	0.0035211267605633804	0.0024449877750611247	0.006172839506172839	0.002544529262086514	0.0048484848484848485	0.0014771048744460858	0.0	0.0012165450121654502	0.0	0.013157894736842105	0.0	0.0	0.0031746031746031746	0.009708737864077669
Hamamelidaceae	0.0	0.0	0.003590664272890485	0.0033112582781456954	0.003355704697986577	0.0016273393002441008	0.0	0.000992063492063492	0.0	0.0017605633802816902	0.0012224938875305623	0.0	0.007633587786259542	0.006060606060606061	0.0	0.002008032128514056	0.0	0.0	0.0	0.0	0.0	0.0031746031746031746	0.0
Asaraceae	0.0	0.0	0.0017953321364452424	0.006622516556291391	0.003355704697986577	0.0024410089503661514	0.0	0.002976190476190476	0.0	0.0035211267605633804	0.004889975550122249	0.0	0.007633587786259542	0.0024242424242424242	0.004431314623338257	0.004016064257028112	0.0036496350364963502	0.009345794392523364	0.02631578947368421	0.0	0.001851851851851852	0.012698412698412698	0.0048543689320388345
Paulowniaceae	0.0	0.0	0.0	0.0033112582781456954	0.0	0.0	0.0	0.000992063492063492	0.0	0.0	0.0012224938875305623	0.006172839506172839	0.002544529262086514	0.0048484848484848485	0.0014771048744460858	0.002008032128514056	0.0024330900243309003	0.009345794392523364	0.0	0.0	0.0	0.0031746031746031746	0.0
Cordiaceae	0.0	0.004651162790697674	0.003590664272890485	0.0	0.003355704697986577	0.004882017900732303	0.0	0.002976190476190476	0.006289308176100629	0.008802816901408451	0.006112469437652812	0.006172839506172839	0.005089058524173028	0.008484848484848486	0.0014771048744460858	0.002008032128514056	0.0	0.009345794392523364	0.0	0.0	0.0	0.0031746031746031746	0.0048543689320388345
Bryaceae	0.0	0.0	0.0	0.006622516556291391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012121212121212121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
